Step,Temp,PotEng,TotEng,v_tipxx,v_tipxy,v_tipxz,v_tipfx,v_tipfy,v_tipfz
54000,296.44796,-18564.39,-18420.963,26.080669,32.091532,35.482808,1.42E-15,1.48E-14,-3.63E-14
55000,293.48048,-18565.18,-18423.188,26.080669,32.091532,35.472808,1.42E-15,9.07E-15,-4.98E-15
56000,288.54851,-18564.782,-18425.176,26.080669,32.091532,35.462808,0,1.48E-14,-2.49E-14
57000,302.78846,-18557.967,-18411.472,26.080669,32.091532,35.452808,1.42E-15,1.48E-14,-3.63E-14
58000,300.24077,-18567.072,-18421.809,26.080669,32.091532,35.442808,1.42E-15,1.48E-14,-3.63E-14
59000,298.02516,-18561.699,-18417.508,26.080669,32.091532,35.432808,0,1.48E-14,-2.49E-14
60000,302.99493,-18564.594,-18417.999,26.080669,32.091532,35.422808,1.42E-15,1.48E-14,-3.63E-14
61000,295.57337,-18566.253,-18423.248,26.080669,32.091532,35.412808,1.42E-15,1.48E-14,-3.63E-14
62000,301.39945,-18557.361,-18411.538,26.080669,32.091532,35.402808,1.42E-15,9.07E-15,-4.98E-15
63000,300.14438,-18562.52,-18417.304,26.080669,32.091532,35.392808,0,1.48E-14,-2.49E-14
64000,298.05548,-18562.198,-18417.993,26.080669,32.091532,35.382808,1.42E-15,1.48E-14,-3.63E-14
65000,297.2203,-18562.642,-18418.84,26.080669,32.091532,35.372808,1.42E-15,1.48E-14,-3.63E-14
66000,300.83989,-18566.663,-18421.111,26.080669,32.091532,35.362808,1.42E-15,9.07E-15,-4.98E-15
67000,291.33963,-18559.168,-18418.212,26.080669,32.091532,35.352808,1.42E-15,1.48E-14,-3.63E-14
68000,294.49303,-18564.805,-18422.323,26.080669,32.091532,35.342808,1.42E-15,1.48E-14,-3.63E-14
69000,299.99509,-18561.916,-18416.772,26.080669,32.091532,35.332808,1.42E-15,9.07E-15,-4.98E-15
70000,298.82363,-18563.684,-18419.107,26.080669,32.091532,35.322808,0,1.48E-14,-2.49E-14
71000,302.82112,-18564.076,-18417.565,26.080669,32.091532,35.312808,1.42E-15,1.48E-14,-3.63E-14
72000,305.77861,-18559.832,-18411.89,26.080669,32.091532,35.302808,1.42E-15,1.48E-14,-3.63E-14
73000,296.59127,-18563.233,-18419.736,26.080669,32.091532,35.292808,1.42E-15,9.07E-15,-4.98E-15
74000,293.39911,-18562.792,-18420.839,26.080669,32.091532,35.282808,0,1.48E-14,-2.49E-14
75000,296.90026,-18565.508,-18421.861,26.080669,32.091532,35.272808,1.42E-15,1.48E-14,-3.63E-14
76000,294.59859,-18560.2,-18417.667,26.080669,32.091532,35.262808,1.42E-15,9.07E-15,-4.98E-15
77000,299.93647,-18563.254,-18418.138,26.080669,32.091532,35.252808,0,1.48E-14,-2.49E-14
78000,294.882,-18563.035,-18420.365,26.080669,32.091532,35.242808,1.42E-15,1.48E-14,-3.63E-14
79000,290.27129,-18565.658,-18425.219,26.080669,32.091532,35.232808,1.42E-15,1.48E-14,-3.63E-14
80000,292.2193,-18563.352,-18421.971,26.080669,32.091532,35.222808,1.42E-15,9.07E-15,-4.98E-15
81000,303.69636,-18565.15,-18418.215,26.080669,32.091532,35.212808,0,1.48E-14,-2.49E-14
82000,295.59292,-18561.519,-18418.505,26.080669,32.091532,35.202808,1.42E-15,1.48E-14,-3.63E-14
83000,303.66544,-18562.276,-18415.356,26.080669,32.091532,35.192808,0,1.48E-14,-1.64E-14
84000,293.83311,-18565.276,-18423.114,26.080669,32.091532,35.182808,0,1.48E-14,-2.49E-14
85000,300.5468,-18563.134,-18417.723,26.080669,32.091532,35.172808,1.42E-15,1.48E-14,-3.63E-14
86000,299.71278,-18562.019,-18417.012,26.080669,32.091532,35.162808,1.42E-15,1.48E-14,-3.63E-14
87000,301.32078,-18561.696,-18415.911,26.080669,32.091532,35.152808,1.42E-15,9.07E-15,-4.98E-15
88000,300.95955,-18562.658,-18417.048,26.080669,32.091532,35.142808,0,1.48E-14,-2.49E-14
89000,305.75807,-18566.433,-18418.5,26.080669,32.091532,35.132808,1.42E-15,1.48E-14,-3.63E-14
90000,290.37311,-18561.058,-18420.569,26.080669,32.091532,35.122808,1.42E-15,1.48E-14,-3.63E-14
91000,300.48341,-18565.549,-18420.169,26.080669,32.091532,35.112808,1.42E-15,9.07E-15,-4.98E-15
92000,297.32271,-18563.18,-18419.329,26.080669,32.091532,35.102808,1.42E-15,1.48E-14,-3.63E-14
93000,306.59883,-18564.613,-18416.274,26.080669,32.091532,35.092808,1.42E-15,1.48E-14,-3.63E-14
94000,292.71757,-18566.06,-18424.437,26.080669,32.091532,35.082808,1.42E-15,9.07E-15,-4.98E-15
95000,299.4759,-18558.742,-18413.85,26.080669,32.091532,35.072808,0,1.48E-14,-2.49E-14
96000,295.41287,-18564.248,-18421.321,26.080669,32.091532,35.062808,1.42E-15,1.48E-14,-3.63E-14
97000,302.13297,-18562.188,-18416.01,26.080669,32.091532,35.052808,1.42E-15,1.48E-14,-3.63E-14
98000,303.01798,-18563.927,-18417.321,26.080669,32.091532,35.042808,1.42E-15,9.07E-15,-4.98E-15
99000,297.85817,-18564.596,-18420.486,26.080669,32.091532,35.032808,0,1.48E-14,-2.49E-14
100000,295.7497,-18563.041,-18419.951,26.080669,32.091532,35.022808,-1.07E-15,7.91E-15,1.78E-15
101000,292.58136,-18566.221,-18424.664,26.080669,32.091532,35.012808,1.78E-15,-3.47E-15,-2.38E-14
102000,298.24849,-18560.235,-18415.936,26.080669,32.091532,35.002808,3.20E-15,5.07E-15,-2.31E-14
103000,294.98235,-18566.851,-18424.133,26.080669,32.091532,34.992808,-1.07E-15,7.91E-15,1.78E-15
104000,301.83036,-18559.781,-18413.75,26.080669,32.091532,34.982808,-1.07E-15,7.91E-15,1.78E-15
105000,297.02938,-18563.853,-18420.144,26.080669,32.091532,34.972808,1.78E-15,-3.47E-15,-2.38E-14
106000,301.35503,-18562.304,-18416.502,26.080669,32.091532,34.962808,3.20E-15,5.07E-15,-2.31E-14
